cusip,options,issuer,description,status
G2554F 90 5,,COVIDIEN PLC,CALL,
G2554F 95 5,,COVIDIEN PLC,PUT,
G2554P 10 3,,CRM HOLDINGS LTD,COM,
G29438 10 1,,E FUTURE INFORMATION TECH IN,SHS,
G30397 10 6,*,ENDURANCE SPECIALTY HLDGS LT,SHS,
G30397 90 6,,ENDURANCE SPECIALTY HLDGS LT,CALL,
G30397 95 6,,ENDURANCE SPECIALTY HLDGS LT,PUT,
G3075P 10 1,,ENSTAR GROUP LIMITED,SHS,
G3156P 10 3,*,ASA LIMITED,SHS,
G3156P 90 3,,ASA LIMITED,CALL,
G3156P 95 3,,ASA LIMITED,PUT,
G3159C 10 9,*,CRYPTOLOGIC LIMITED,SHS,
G3159C 90 9,,CRYPTOLOGIC LIMITED,CALL,
G3159C 95 9,,CRYPTOLOGIC LIMITED,PUT,
G32030 10 1,,EURO TECH HOLDINGS CO LTD,ORD,
G3223R 10 8,*,EVEREST RE GROUP LTD,COM,
G3223R 90 8,,EVEREST RE GROUP LTD,CALL,
G3223R 95 8,,EVEREST RE GROUP LTD,PUT,
G32335 10 4,,EXCEED COMPANY LTD,SHS,
G32335 11 2,,EXCEED COMPANY LTD,*W EXP 11/08/201,
G32335 12 0,,EXCEED COMPANY LTD,UNIT 11/08/2011,
G3396L 10 2,,FGX INTERNATIONAL HLDGS LTD,ORD SHS,DELETED
G3529T 10 5,,FLAGSTONE REINSURANCE HLDGS,SHS,
G36738 10 5,*,FRESH DEL MONTE PRODUCE INC,ORD,
G36738 90 5,,FRESH DEL MONTE PRODUCE INC,CALL,
G36738 95 5,,FRESH DEL MONTE PRODUCE INC,PUT,
G3682E 12 7,*,FRONTLINE LTD,SHS,
G3682E 90 7,,FRONTLINE LTD,CALL,
G3682E 95 7,,FRONTLINE LTD,PUT,
G36993 10 6,,FUNTALK CHINA HOLDINGS LIMIT,SHS,ADDED
G3704F 10 2,,FUWEI FILMS HLDGS CO LTD,SHS,
G37260 10 9,*,GARMIN LTD,ORD,
G37260 90 9,,GARMIN LTD,CALL,
G37260 95 9,,GARMIN LTD,PUT,
G38490 10 1,,GEROVA FINANCIAL GROUP LTD,ORD SHS REG S,ADDED
G38490 12 7,,GEROVA FINANCIAL GROUP LTD,UNIT 99/99/9999,ADDED
G3921A 17 5,*,GLOBAL CROSSING LTD,SHS NEW,
G3921A 90 5,,GLOBAL CROSSING LTD,CALL,
G3921A 95 5,,GLOBAL CROSSING LTD,PUT,
G3922B 10 7,*,GENPACT LIMITED,SHS,
G3922B 90 7,,GENPACT LIMITED,CALL,
G3922B 95 7,,GENPACT LIMITED,PUT,
G39300 10 1,,GLOBAL SOURCES LTD,ORD,
G39320 11 7,,GLOBAL TECH ADVANCED INNOVAT,SHS NEW,
G4095J 10 9,*,GREENLIGHT CAPITAL RE LTD,CLASS A,
G4095J 90 9,,GREENLIGHT CAPITAL RE LTD,CALL,
G4095J 95 9,,GREENLIGHT CAPITAL RE LTD,PUT,
G4388N 10 6,*,HELEN OF TROY CORP LTD,COM,
G4388N 90 6,,HELEN OF TROY CORP LTD,CALL,
G4388N 95 6,,HELEN OF TROY CORP LTD,PUT,
G4412G 10 1,*,HERBALIFE LTD,COM USD SHS,
G4412G 90 1,,HERBALIFE LTD,CALL,
G4412G 95 1,,HERBALIFE LTD,PUT,
G4481U 10 6,,HIGHWAY HLDGS LTD,ORD,
G45667 10 5,,HOLLYSYS AUTOMATION TECHNOLO,SHS,
G47791 10 1,*,INGERSOLL-RAND PLC,SHS,
G47791 90 1,,INGERSOLL-RAND PLC,CALL,
G47791 95 1,,INGERSOLL-RAND PLC,PUT,
G491BT 10 8,*,INVESCO LTD,SHS,
G491BT 90 8,,INVESCO LTD,CALL,
G491BT 95 8,,INVESCO LTD,PUT,
G5138L 10 0,,JINPAN INTL LTD,ORD,
G5299G 10 6,*,KNIGHTSBRIDGE TANKERS LTD,ORD,
G5299G 90 6,,KNIGHTSBRIDGE TANKERS LTD,CALL,
G5299G 95 6,,KNIGHTSBRIDGE TANKERS LTD,PUT,
G54050 10 2,*,LAZARD LTD,SHS A,
G54050 90 2,,LAZARD LTD,CALL,
G54050 95 2,,LAZARD LTD,PUT,
G55312 10 5,*,LJ INTL INC,ORD,
G55312 90 5,,LJ INTL INC,CALL,
G55312 95 5,,LJ INTL INC,PUT,
G5753U 11 2,*,MAIDEN HOLDINGS LTD,SHS,
G5753U 90 2,,MAIDEN HOLDINGS LTD,CALL,
G5753U 95 2,,MAIDEN HOLDINGS LTD,PUT,
G5808F 10 2,,MAN SANG INTERNATIONAL B V I,SHS,
G5876H 10 5,*,MARVELL TECHNOLOGY GROUP LTD,ORD,
G5876H 90 5,,MARVELL TECHNOLOGY GROUP LTD,CALL,
G5876H 95 5,,MARVELL TECHNOLOGY GROUP LTD,PUT,
G6052F 10 3,*,MAX CAPITAL GROUP LTD,SHS,
G6052F 90 3,,MAX CAPITAL GROUP LTD,CALL,
G6052F 95 3,,MAX CAPITAL GROUP LTD,PUT,
G60642 10 8,*,MF GLOBAL LTD,SHS,DELETED
G60642 90 8,,MF GLOBAL LTD,CALL,DELETED
G60642 95 8,,MF GLOBAL LTD,PUT,DELETED
G62185 10 6,*,MONTPELIER RE HOLDINGS LTD,SHS,
G62185 90 6,,MONTPELIER RE HOLDINGS LTD,CALL,
G62185 95 6,,MONTPELIER RE HOLDINGS LTD,PUT,
G6359F 10 3,*,NABORS INDUSTRIES LTD,SHS,
G6359F 90 3,,NABORS INDUSTRIES LTD,CALL,
G6359F 95 3,,NABORS INDUSTRIES LTD,PUT,
G64626 10 7,,NEWLEAD HOLDINGS LTD,SHS,ADDED
G65773 10 6,*,NORDIC AMERICAN TANKER SHIPP,COM,
G65773 90 6,,NORDIC AMERICAN TANKER SHIPP,CALL,
G65773 95 6,,NORDIC AMERICAN TANKER SHIPP,PUT,
G66202 10 5,,NORTH ASIA INVESTMENT CORP,COM,
G66202 11 3,,NORTH ASIA INVESTMENT CORP,*W EXP 07/23/201,
G66202 20 4,,NORTH ASIA INVESTMENT CORP,UNIT 99/99/9999,
G67543 10 1,*,OPENTV CORP,CL A,
G67543 90 1,,OPENTV CORP,CALL,
G67543 95 1,,OPENTV CORP,PUT,
G67742 10 9,*,ONEBEACON INSURANCE GROUP LT,CL A,
G67742 90 9,,ONEBEACON INSURANCE GROUP LT,CALL,
G67742 95 9,,ONEBEACON INSURANCE GROUP LT,PUT,
G67743 10 7,*,ORIENT-EXPRESS HOTELS LTD,CL A,
G67743 90 7,,ORIENT-EXPRESS HOTELS LTD,CALL,
G67743 95 7,,ORIENT-EXPRESS HOTELS LTD,PUT,
G67828 10 6,*,ORIGIN AGRITECH LIMITED,SHS,
G67828 90 6,,ORIGIN AGRITECH LIMITED,CALL,
G67828 95 6,,ORIGIN AGRITECH LIMITED,PUT,
G6830P 10 0,,OVERTURE ACQUISITION CORP,SHS,DELETED
G6830P 11 8,,OVERTURE ACQUISITION CORP,*W EXP 01/30/201,DELETED
G6830P 20 9,,OVERTURE ACQUISITION CORP,UNIT 99/99/9999,DELETED
G6852T 10 5,*,PARTNERRE LTD,COM,
G6852T 90 5,,PARTNERRE LTD,CALL,
G6852T 95 5,,PARTNERRE LTD,PUT,
G6891W 10 1,,PANSOFT COMPANY LIMITED,SHS,
G7127P 10 0,*,PLATINUM UNDERWRITER HLDGS L,COM,
G7127P 90 0,,PLATINUM UNDERWRITER HLDGS L,CALL,
G7127P 95 0,,PLATINUM UNDERWRITER HLDGS L,PUT,
G72457 10 7,,PRIMUS GUARANTY LTD,SHS,
G7293H 11 4,,PRUDENTIAL PLC,6.75%SUB REG S,ADDED
G7293H 18 9,,PRUDENTIAL PLC,PER SUB 6.50%,ADDED
G7303A 10 9,*,QIAO XING UNIVERSAL TELEPHON,ORD,
G7303A 90 9,,QIAO XING UNIVERSAL TELEPHON,CALL,
G7303A 95 9,,QIAO XING UNIVERSAL TELEPHON,PUT,
G73031 10 9,*,QIAO XING MOBILE COMM CO LTD,SHS,
G73031 90 9,,QIAO XING MOBILE COMM CO LTD,CALL,
G73031 95 9,,QIAO XING MOBILE COMM CO LTD,PUT,
G7415M 10 8,,RECON TECHNOLOGY LTD,SHS,
G7496G 10 3,*,RENAISSANCERE HOLDINGS LTD,COM,
G7496G 90 3,,RENAISSANCERE HOLDINGS LTD,CALL,
G7496G 95 3,,RENAISSANCERE HOLDINGS LTD,PUT,
G7945J 10 4,*,SEAGATE TECHNOLOGY,SHS,
G7945J 90 4,,SEAGATE TECHNOLOGY,CALL,
G7945J 95 4,,SEAGATE TECHNOLOGY,PUT,
G7982P 10 4,,DJSP ENTERPRISES INCORPORATE,SHS,ADDED
G7982P 11 2,,DJSP ENTERPRISES INCORPORATE,UNIT 08/11/2012,ADDED
G7982P 12 0,,DJSP ENTERPRISES INCORPORATE,*W EXP 08/11/201,ADDED
G8005Y 10 6,,SEARCHMEDIA HOLDINGS LTD,SHS,
G8005Y 11 4,,SEARCHMEDIA HOLDINGS LTD,*W EXP 99/99/999,
G8005Y 20 5,,SEARCHMEDIA HOLDINGS LTD,UNIT 12/17/2013,
G80680 20 3,,SEVEN ARTS PICTURES PLC,SHS,
G81075 10 6,*,SHIP FINANCE INTERNATIONAL L,SHS,
G81075 90 6,,SHIP FINANCE INTERNATIONAL L,CALL,
G81075 95 6,,SHIP FINANCE INTERNATIONAL L,PUT,
G81276 10 0,*,SIGNET JEWELERS LIMITED,SHS,
G81276 90 0,,SIGNET JEWELERS LIMITED,CALL,
G81276 95 0,,SIGNET JEWELERS LIMITED,PUT,
G81477 10 4,*,SINA CORP,ORD,
G81477 90 4,,SINA CORP,CALL,
G81477 95 4,,SINA CORP,PUT,
G82245 10 4,*,SMART MODULAR TECHNOLOGIES I,ORD SHS,
G82245 90 4,,SMART MODULAR TECHNOLOGIES I,CALL,
G82245 95 4,,SMART MODULAR TECHNOLOGIES I,PUT,
G84384 10 9,*,CHINA TECH DEVELOPMENT GP CO,SHS,
G84384 90 9,,CHINA TECH DEVELOPMENT GP CO,CALL,
G84384 95 9,,CHINA TECH DEVELOPMENT GP CO,PUT,
G8657Q 10 4,*,TBS INTERNATIONAL PLC,CL A SHS,ADDED
G8657Q 90 4,,TBS INTERNATIONAL PLC,CALL,ADDED
G8657Q 95 4,,TBS INTERNATIONAL PLC,PUT,ADDED
G86975 15 1,*,TBS INTERNATIONAL LIMITED,COM CL A,DELETED
G86975 90 1,,TBS INTERNATIONAL LIMITED,CALL,DELETED
G86975 95 1,,TBS INTERNATIONAL LIMITED,PUT,DELETED
G87210 10 3,*,UTI WORLDWIDE INC,ORD,
G87210 90 3,,UTI WORLDWIDE INC,CALL,
G87210 95 3,,UTI WORLDWIDE INC,PUT,
G8766E 10 9,*,TEXTAINER GROUP HOLDINGS LTD,SHS,
G8766E 90 9,,TEXTAINER GROUP HOLDINGS LTD,CALL,
G8766E 95 9,,TEXTAINER GROUP HOLDINGS LTD,PUT,
G8918T 10 3,,TONGXIN INTERNATIONAL LTD,COM,
G8918T 11 1,,TONGXIN INTERNATIONAL LTD,*W EXP 04/10/201,
G8918T 20 2,,TONGXIN INTERNATIONAL LTD,UNIT 04/10/2011,
G8977T 10 1,,CHARDAN 2008 CHINA ACQST COR,SHS,DELETED
G8977T 11 9,,CHARDAN 2008 CHINA ACQST COR,*W EXP 08/11/201,DELETED
G8977T 12 7,,CHARDAN 2008 CHINA ACQST COR,UNIT 99/99/9999,DELETED
G89982 10 5,,TRANSATLANTIC PETROLEUM LTD,SHS,
G9103F 10 6,,TRI-TECH HOLDING INC,SHS,
G9108L 10 8,*,TSAKOS ENERGY NAVIGATION LTD,SHS,
G9108L 90 8,,TSAKOS ENERGY NAVIGATION LTD,CALL,
G9108L 95 8,,TSAKOS ENERGY NAVIGATION LTD,PUT,
G9319H 10 2,*,VALIDUS HOLDINGS LTD,COM SHS,
G9319H 90 2,,VALIDUS HOLDINGS LTD,CALL,
G9319H 95 2,,VALIDUS HOLDINGS LTD,PUT,
G93205 10 5,,VANTAGE DRILLING COMPANY,UNIT 05/24/2011,
G93205 11 3,,VANTAGE DRILLING COMPANY,ORD SHS,
G93205 12 1,,VANTAGE DRILLING COMPANY,*W EXP 05/24/201,
G94368 10 0,*,WARNER CHILCOTT PLC IRELAND,SHS A,
G94368 90 0,,WARNER CHILCOTT PLC IRELAND,CALL,
G94368 95 0,,WARNER CHILCOTT PLC IRELAND,PUT,
G9456A 10 0,*,GOLAR LNG LTD BERMUDA,SHS,
G9456A 90 0,,GOLAR LNG LTD BERMUDA,CALL,
G9456A 95 0,,GOLAR LNG LTD BERMUDA,PUT,
G9618E 10 7,,WHITE MTNS INS GROUP LTD,COM,
G96655 10 8,*,WILLIS GROUP HOLDINGS LTD,SHS,DELETED
G96655 90 8,,WILLIS GROUP HOLDINGS LTD,CALL,DELETED
G96655 95 8,,WILLIS GROUP HOLDINGS LTD,PUT,DELETED
G96666 10 5,*,WILLIS GROUP HOLDINGS PUBLIC,SHS,ADDED
G96666 90 5,,WILLIS GROUP HOLDINGS PUBLIC,CALL,ADDED
G96666 95 5,,WILLIS GROUP HOLDINGS PUBLIC,PUT,ADDED
G9825R 10 7,*,XOMA LTD,ORD,
G9825R 90 7,,XOMA LTD,CALL,
G9825R 95 7,,XOMA LTD,PUT,
G98255 10 5,*,XL CAP LTD,CL A,
G98255 90 5,,XL CAP LTD,CALL,
G98255 95 5,,XL CAP LTD,PUT,
G98268 10 8,*,XYRATEX LTD,COM,
G98268 90 8,,XYRATEX LTD,CALL,
G98268 95 8,,XYRATEX LTD,PUT,
G98777 10 8,*,YUCHENG TECHNOLOGIES LTD,COM,
G98777 90 8,,YUCHENG TECHNOLOGIES LTD,CALL,
G98777 95 8,,YUCHENG TECHNOLOGIES LTD,PUT,
H0023R 10 5,*,ACE LTD,SHS,
H0023R 90 5,,ACE LTD,CALL,
H0023R 95 5,,ACE LTD,PUT,
H01301 10 2,*,ALCON INC,COM SHS,
H01301 90 2,,ALCON INC,CALL,
H01301 95 2,,ALCON INC,PUT,
H27013 10 3,*,WEATHERFORD INTERNATIONAL LT,REG,
H27013 90 3,,WEATHERFORD INTERNATIONAL LT,CALL,
H27013 95 3,,WEATHERFORD INTERNATIONAL LT,PUT,
H27178 10 4,*,FOSTER WHEELER AG,COM,
H27178 90 4,,FOSTER WHEELER AG,CALL,
H27178 95 4,,FOSTER WHEELER AG,PUT,
H50430 23 2,*,LOGITECH INTL S A,SHS,
H50430 90 2,,LOGITECH INTL S A,CALL,
H50430 95 2,,LOGITECH INTL S A,PUT,
H5833N 10 3,*,NOBLE CORPORATION BAAR,NAMEN -AKT,
H5833N 90 3,,NOBLE CORPORATION BAAR,CALL,
H5833N 95 3,,NOBLE CORPORATION BAAR,PUT,
H8817H 10 0,*,TRANSOCEAN LTD,REG SHS,
H8817H 90 0,,TRANSOCEAN LTD,CALL,
H8817H 95 0,,TRANSOCEAN LTD,PUT,
H8912P 10 6,*,TYCO ELECTRONICS LTD SWITZER,SHS,
H8912P 90 6,,TYCO ELECTRONICS LTD SWITZER,CALL,
H8912P 95 6,,TYCO ELECTRONICS LTD SWITZER,PUT,
H89128 10 4,*,TYCO INTERNATIONAL LTD,SHS,
H89128 90 4,,TYCO INTERNATIONAL LTD,CALL,
H89128 95 4,,TYCO INTERNATIONAL LTD,PUT,
H89231 33 8,*,UBS AG,SHS NEW,
H89231 90 8,,UBS AG,CALL,
H89231 95 8,,UBS AG,PUT,
L0175J 10 4,*,ALTISOURCE PORTFOLIO SOLNS S,REG SHS,
L0175J 90 4,,ALTISOURCE PORTFOLIO SOLNS S,CALL,
L0175J 95 4,,ALTISOURCE PORTFOLIO SOLNS S,PUT,
L6388F 11 0,*,MILLICOM INTL CELLULAR S A,SHS NEW,
L6388F 90 0,,MILLICOM INTL CELLULAR S A,CALL,
L6388F 95 0,,MILLICOM INTL CELLULAR S A,PUT,
M0854Q 10 5,,ALLOT COMMUNICATIONS LTD,SHS,
M0861T 10 0,*,ALVARION LTD,SHS,
M0861T 90 0,,ALVARION LTD,CALL,
M0861T 95 0,,ALVARION LTD,PUT,
M15342 10 4,*,AUDIOCODES LTD,ORD,
M15342 90 4,,AUDIOCODES LTD,CALL,
M15342 95 4,,AUDIOCODES LTD,PUT,
M20115 13 1,,BOS BETTER ONLINE SOLUTIONS,SHS,DELETED
M20115 16 4,,BOS BETTER ONLINE SOLUTIONS,SHS,ADDED
M20157 10 9,*,BLUEPHOENIX SOLUTIONS LTD,SHS,
M20157 90 9,,BLUEPHOENIX SOLUTIONS LTD,CALL,
M20157 95 9,,BLUEPHOENIX SOLUTIONS LTD,PUT,
M20791 10 5,,CAMTEK LTD,ORD,
M2196U 10 9,*,CELLCOM ISRAEL LTD,SHS,
M2196U 90 9,,CELLCOM ISRAEL LTD,CALL,
M2196U 95 9,,CELLCOM ISRAEL LTD,PUT,
M22013 10 2,*,CERAGON NETWORKS LTD,ORD,
M22013 90 2,,CERAGON NETWORKS LTD,CALL,
M22013 95 2,,CERAGON NETWORKS LTD,PUT,
M22465 10 4,*,CHECK POINT SOFTWARE TECH LT,ORD,
M22465 90 4,,CHECK POINT SOFTWARE TECH LT,CALL,
M22465 95 4,,CHECK POINT SOFTWARE TECH LT,PUT,
M23798 10 7,,CIMATRON LTD,ORD,
M25082 10 4,*,CLICKSOFTWARE TECHNOLOGIES L,ORD,
M25082 90 4,,CLICKSOFTWARE TECHNOLOGIES L,CALL,
M25082 95 4,,CLICKSOFTWARE TECHNOLOGIES L,PUT,
M25596 20 2,,COMMTOUCH SOFTWARE LTD,SHS NEW,
M25722 10 5,*,COMPUGEN LTD,ORD,
M25722 90 5,,COMPUGEN LTD,CALL,
M25722 95 5,,COMPUGEN LTD,PUT,
M29925 10 0,,ECTEL LTD,ORD,DELETED
M3760D 10 1,*,ELBIT SYS LTD,ORD,
M3760D 90 1,,ELBIT SYS LTD,CALL,
M3760D 95 1,,ELBIT SYS LTD,PUT,
M37605 10 8,,ELBIT IMAGING LTD,ORD SHS,
M40184 10 9,,ELTEK LTD,ORD,
M4146Y 10 8,*,EZCHIP SEMICONDUCTOR LIMITED,ORD,
M4146Y 90 8,,EZCHIP SEMICONDUCTOR LIMITED,CALL,
M4146Y 95 8,,EZCHIP SEMICONDUCTOR LIMITED,PUT,
M47095 10 0,*,FUNDTECH LTD,ORD,
M47095 90 0,,FUNDTECH LTD,CALL,
M47095 95 0,,FUNDTECH LTD,PUT,
M51363 11 3,*,MELLANOX TECHNOLOGIES LTD,SHS,
M51363 90 3,,MELLANOX TECHNOLOGIES LTD,CALL,
M51363 95 3,,MELLANOX TECHNOLOGIES LTD,PUT,
M51474 11 8,*,GILAT SATELLITE NETWORKS LTD,SHS NEW,
M51474 90 8,,GILAT SATELLITE NETWORKS LTD,CALL,
M51474 95 8,,GILAT SATELLITE NETWORKS LTD,PUT,
M52020 10 0,*,GIVEN IMAGING,ORD SHS,
M52020 90 0,,GIVEN IMAGING,CALL,
M52020 95 0,,GIVEN IMAGING,PUT,
M52514 10 2,,HADERA PAPER LTD,SHS,
M52523 10 3,,G WILLI FOOD INTL LTD,ORD,
M5364E 10 4,,INCREDIMAIL LTD,SHS,
M56595 10 7,,INTERNET GOLD-GOLDEN LINES L,ORD,
M6158M 10 4,,ITURAN LOCATION AND CONTROL,SHS,
M6184R 10 1,,JACADA LTD,ORD,
M6786D 10 4,,MAGAL SECURITY SYS LTD,ORD,
M69676 10 0,,MER TELEMANAGEMENT SOLUTIONS,ORD,DELETED
M69676 12 6,,MER TELEMANAGEMENT SOLUTIONS,SHS NEW,ADDED
M69897 10 2,*,METALINK LTD,ORD,DELETED
M69897 90 2,,METALINK LTD,CALL,DELETED
M69897 95 2,,METALINK LTD,PUT,DELETED
M69897 11 0,,METALINK LTD,SHS NEW,ADDED
M70240 10 2,,MIND C T I LTD,ORD,
M7516K 10 3,*,NOVA MEASURING INSTRUMENTS L,COM,
M7516K 90 3,,NOVA MEASURING INSTRUMENTS L,CALL,
M7516K 95 3,,NOVA MEASURING INSTRUMENTS L,PUT,
M7524R 10 8,,OPTIBASE LTD,ORD,
M75253 10 0,*,ORBOTECH LTD,ORD,
M75253 90 0,,ORBOTECH LTD,CALL,
M75253 95 0,,ORBOTECH LTD,PUT,
M7531S 20 6,*,ORCKIT COMMUNICATIONS LTD,SHS NEW,
M7531S 90 6,,ORCKIT COMMUNICATIONS LTD,CALL,
M7531S 95 6,,ORCKIT COMMUNICATIONS LTD,PUT,
M7946T 10 4,,POINTER TELOCATION LTD,SHS,
M8183P 10 2,,RRSAT GLOBAL COMM NTWRK LTD,SHS,
M81863 11 6,,RADA ELECTR INDS LTD,SHS NEW,
M81865 11 1,,RADCOM LTD,SHS NEW,
M81869 10 5,*,RADVISION LTD,ORD,
M81869 90 5,,RADVISION LTD,CALL,
M81869 95 5,,RADVISION LTD,PUT,
M81873 10 7,*,RADWARE LTD,ORD,
M81873 90 7,,RADWARE LTD,CALL,
M81873 95 7,,RADWARE LTD,PUT,
M8215Q 11 0,,RIT TECHNOLOGIES LTD,SHS,
M8215W 10 9,,RETALIX LTD,ORD,
M82183 10 0,,ROSETTA GENOMICS LTD,SHS,
M83683 10 8,,SHAMIR OPTICAL INDUSTRY LTD,SHS,
M84116 10 8,,SILICOM LTD,ORD,
M8484K 10 9,,STARLIMS TECHNOLOGIES LTD,SHS,
M87245 10 2,*,SYNERON MEDICAL LTD,ORD SHS,
M87245 90 2,,SYNERON MEDICAL LTD,CALL,
